,artist_and_title,wks,t10,pk,(x?),pkstreams,total,artist,title,country,deezer_track_id,deezer_release_date,deezer_genres
183,KÖFN - Yakışıklı,59,9.0,5,,2470213,96730499,KÖFN,Yakışıklı,tr,2542342371,2023-11-24,['Pop']
184,Tom Odell - Another Love,172,,16,,1439511,96665063,Tom Odell,Another Love,tr,65723649,2013-06-24,"['Pop', 'Uluslararası Pop', 'Rock', 'Singer & Songwriter']"
185,Ati242 - Kalbim Yanımda,115,,18,,2169365,96283667,Ati242,Kalbim Yanımda,tr,2458890485,2023-09-29,['Rap/Hip Hop']
186,BLOK3 - YAPTIRICAZ TIRNAKLARINI,99,1.0,10,,2403054,95902134,BLOK3,YAPTIRICAZ TIRNAKLARINI,tr,2254139807,2023-04-28,['Rap/Hip Hop']
187,Norm Ender - Bir Çift Göz,33,15.0,1,(x1),5832671,95656030,Norm Ender,Bir Çift Göz,tr,,,
188,Motive - pVg,89,13.0,3,(x2),2935414,95353888,Motive,pVg,tr,2620791502,2024-01-19,['Rap/Hip Hop']
189,Semicenk - Gözlerinden Gözlerine,52,16.0,1,(x1),6168652,94228814,Semicenk,Gözlerinden Gözlerine,tr,3191161771,2025-01-31,['Pop']
190,ALIZADE - 24/7,63,13.0,1,(x2),4834455,93368002,ALIZADE,24/7,tr,2232954277,2023-04-21,['Rap/Hip Hop']
191,Ezhel - Nerdesin,61,16.0,1,(x7),5374450,93212174,Ezhel,Nerdesin,tr,1815218487,2022-07-22,['Rap/Hip Hop']
192,ElMusto - Dale Don Dale,56,17.0,1,(x1),4846568,92968235,ElMusto,Dale Don Dale,tr,2776680871,2024-05-17,['Rap/Hip Hop']
193,Lvbel C5 - DOĞUŞTAN BERİ HAKLIYIM (tmm),55,15.0,1,(x6),5849737,92171513,Lvbel C5,DOĞUŞTAN BERİ HAKLIYIM (tmm),tr,,,
194,Yalın - Küçücüğüm,164,,48,,1055473,91822629,Yalın,Küçücüğüm,tr,67045522,2005-04-13,['Pop']
195,Nazan Öncel - Beni Hatırla,84,,15,,1814288,90953085,Nazan Öncel,Beni Hatırla,tr,2822154222,2003-09-24,"['Pop', 'Türkçe Pop']"
196,Ati242 - Kaptan,91,4.0,6,,2462096,90729921,Ati242,Kaptan,tr,2714896262,2024-04-05,['Rap/Hip Hop']
197,Poizi - YAPAR MISIN?,29,13.0,1,(x2),6611784,90246235,Poizi,YAPAR MISIN?,tr,3470427801,2025-07-25,['Pop']
198,Burak Bulut - Kehribar,68,7.0,3,(x1),2476264,89559057,Burak Bulut,Kehribar,tr,2473798691,2023-09-29,['Pop']
199,Semicenk - Bozulmuş Kalbim,136,,51,,1036500,89446966,Semicenk,Bozulmuş Kalbim,tr,1793620087,2022-07-06,['Pop']
