,artist_and_title,wks,t10,pk,(x?),pkstreams,total,artist,title,country,deezer_track_id,deezer_release_date,deezer_genres
115,Ati242 - Değişmene Rağmen,84,23.0,2,(x2),4854542,157951146,Ati242,Değişmene Rağmen,tr,2863449872,2024-07-05,['Rap/Hip Hop']
116,UZI - SENIN UGRUNA,116,16.0,1,(x5),4503159,156552272,UZI,SENIN UGRUNA,tr,1894130167,2022-09-09,['Rap/Hip Hop']
117,Semicenk - Sen Kaldın,79,18.0,1,(x3),4564088,155374675,Semicenk,Sen Kaldın,tr,2892514062,2024-08-09,['Pop']
118,Semicenk - Canın Sağ Olsun,89,22.0,1,(x2),4630861,152353321,Semicenk,Canın Sağ Olsun,tr,2235104107,2023-04-21,['Pop']
119,Dedublüman - Sana Güvenmiyorum - Dedub Sessions,67,15.0,1,(x12),7731853,151992789,Dedublüman,Sana Güvenmiyorum - Dedub Sessions,tr,3039527761,2024-11-01,['Pop']
120,UZI - PAPARAZZİ,149,29.0,1,(x11),3454429,146392944,UZI,PAPARAZZİ,tr,,,
121,Güneş - Dua,199,20.0,3,(x2),1725267,146041109,Güneş,Dua,tr,1145345832,2020-12-11,"['Pop', 'R&B']"
122,Ati242 - Italy Forma,70,19.0,2,(x8),4885626,141330237,Ati242,Italy Forma,tr,3025652261,2024-10-11,['Rap/Hip Hop']
123,BLOK3 - AFFETMEM,112,15.0,2,(x1),3824907,140879128,BLOK3,AFFETMEM,tr,2098908517,2023-01-13,['Rap/Hip Hop']
124,Güneş - Suçlarımdan Biri,125,20.0,1,(x1),3521399,140519103,Güneş,Suçlarımdan Biri,tr,1734269797,2022-06-03,['Rap/Hip Hop']
125,Rei 6 - Ah Canım Sevgilim - Demo,184,3.0,7,,1251242,140338519,Rei 6,Ah Canım Sevgilim - Demo,tr,2909007021,2020-08-07,['Rap/Hip Hop']
126,Mert Demir - Antidepresan,73,19.0,1,(x7),9524003,138453259,Mert Demir,Antidepresan,tr,1987377507,2022-11-04,[]
127,Dedublüman - Sen Bilmezsin,93,20.0,6,,2841251,137064829,Dedublüman,Sen Bilmezsin,tr,2684821152,2024-03-15,"['Pop', 'Rock']"
128,Kaan Boşnak - Benimle Kayboldun,324,,43,,826399,133554777,Kaan Boşnak,Benimle Kayboldun,tr,517762072,2018-06-16,"['Alternatif', 'Rock', 'Indie Rock/Pop Rock']"
129,Sertab Erener - Olsun,369,,38,,1194297,131136134,Sertab Erener,Olsun,tr,124448368,2016-06-03,['Pop']
130,UZI - ARASAN DA,86,17.0,1,(x4),7933043,129454316,UZI,ARASAN DA,tr,1681570637,2022-03-18,['Rap/Hip Hop']
131,Müslüm Gürses - Nilüfer,444,,12,,1274803,129117750,Müslüm Gürses,Nilüfer,tr,68078582,2020-03-05,[]
132,Ayla Dikmen - Anlamazdın,212,,61,,972642,128405541,Ayla Dikmen,Anlamazdın,tr,120129214,2008-11-17,['Pop']
133,Semicenk - Yana Yana,81,25.0,1,(x7),3731357,128167172,Semicenk,Yana Yana,tr,2083291467,2023-02-03,['Pop']
134,Lvbel C5 - NKBİ X YAPAMAM - Remix,91,22.0,2,(x2),4385597,127437026,Lvbel C5,NKBİ X YAPAMAM - Remix,tr,,,
135,UZI - CINDY,137,22.0,1,(x3),4026569,127383324,UZI,CINDY,tr,1494625772,2021-09-24,['Rap/Hip Hop']
136,Gripin - Aşk Nerden Nereye,224,,59,,1084057,127020587,Gripin,Aşk Nerden Nereye,tr,66135517,2012-11-07,['Pop']
137,BLOK3 - Keşke,46,13.0,1,(x4),9191316,126978769,BLOK3,Keşke,tr,3287580111,2025-03-28,['Rap/Hip Hop']
138,Emir Can İğrek - Kor,142,3.0,6,,1768298,125973897,Emir Can İğrek,Kor,tr,,,
139,Semicenk - Geri Dönemedim,88,10.0,1,(x2),5057015,124724373,Semicenk,Geri Dönemedim,tr,2248749207,2023-05-05,['Pop']
140,Semicenk - Pişman Değilim,70,17.0,1,(x4),9680925,124659364,Semicenk,Pişman Değilim,tr,2295164715,2023-06-02,['Pop']
141,Semicenk - Sevecek Sandım,106,17.0,3,(x1),2819367,123515020,Semicenk,Sevecek Sandım,tr,1935029487,2022-10-07,['Pop']
